,district,date,month,year,visitors
159,Mancherial,01-04-2016,April,2016, 
160,Mancherial,01-05-2016,May,2016, 
161,Mancherial,01-06-2016,June,2016, 
162,Mancherial,01-07-2016,July,2016, 
163,Mancherial,01-08-2016,August,2016, 
164,Mancherial,01-09-2016,September,2016, 
165,Mancherial,01-10-2016,October,2016,3124
166,Mancherial,01-11-2016,November,2016,2255
167,Mancherial,01-12-2016,December,2016,2423
168,Medak ,01-01-2016,January,2016,92600
169,Medak ,01-02-2016,February,2016,215000
170,Medak ,01-03-2016,March,2016,1318000
171,Medak ,01-04-2016,April,2016,300000
172,Medak ,01-05-2016,May,2016,198000
173,Medak ,01-06-2016,June,2016,166700
174,Medak ,01-07-2016,July,2016,153300
175,Medak ,01-08-2016,August,2016,216100
176,Medak ,01-09-2016,September,2016,132600
177,Medak ,01-10-2016,October,2016,15600
178,Medak ,01-11-2016,November,2016,132300
179,Medak ,01-12-2016,December,2016,523000
180,Medchal ,01-01-2016,January,2016, 
181,Medchal ,01-02-2016,February,2016, 
182,Medchal ,01-03-2016,March,2016, 
183,Medchal ,01-04-2016,April,2016, 
184,Medchal ,01-05-2016,May,2016, 
185,Medchal ,01-06-2016,June,2016, 
186,Medchal ,01-07-2016,July,2016, 
187,Medchal ,01-08-2016,August,2016, 
188,Medchal ,01-09-2016,September,2016, 
189,Medchal ,01-10-2016,October,2016, 
190,Medchal ,01-11-2016,November,2016, 
191,Medchal ,01-12-2016,December,2016, 
192,Nagarkurnool ,01-01-2016,January,2016, 
193,Nagarkurnool ,01-02-2016,February,2016, 
194,Nagarkurnool ,01-03-2016,March,2016, 
195,Nagarkurnool ,01-04-2016,April,2016, 
196,Nagarkurnool ,01-05-2016,May,2016, 
197,Nagarkurnool ,01-06-2016,June,2016, 
198,Nagarkurnool ,01-07-2016,July,2016, 
199,Nagarkurnool ,01-08-2016,August,2016, 
200,Nagarkurnool ,01-09-2016,September,2016, 
201,Nagarkurnool ,01-10-2016,October,2016,201050
202,Nagarkurnool ,01-11-2016,November,2016,188786
203,Nagarkurnool ,01-12-2016,December,2016,198637
204,Nalgonda,01-01-2016,January,2016,566515
205,Nalgonda,01-02-2016,February,2016,539467
206,Nalgonda,01-03-2016,March,2016,619462
207,Nalgonda,01-04-2016,April,2016,601253
208,Nalgonda,01-05-2016,May,2016,628872
209,Nalgonda,01-06-2016,June,2016,551239
210,Nalgonda,01-07-2016,July,2016,582820
211,Nalgonda,01-08-2016,August,2016,988102
212,Nalgonda,01-09-2016,September,2016,742402
213,Nalgonda,01-10-2016,October,2016,3508
214,Nalgonda,01-11-2016,November,2016,21046
215,Nalgonda,01-12-2016,December,2016,13775
216,Nirmal,01-01-2016,January,2016, 
217,Nirmal,01-02-2016,February,2016, 
218,Nirmal,01-03-2016,March,2016, 
219,Nirmal,01-04-2016,April,2016, 
220,Nirmal,01-05-2016,May,2016, 
221,Nirmal,01-06-2016,June,2016, 
222,Nirmal,01-07-2016,July,2016, 
223,Nirmal,01-08-2016,August,2016, 
224,Nirmal,01-09-2016,September,2016, 
225,Nirmal,01-10-2016,October,2016,475955
226,Nirmal,01-11-2016,November,2016,201388
227,Nirmal,01-12-2016,December,2016,239267
228,Nizamabad,01-01-2016,January,2016,576
229,Nizamabad,01-02-2016,February,2016,869
230,Nizamabad,01-03-2016,March,2016,408
231,Nizamabad,01-04-2016,April,2016,476
232,Nizamabad,01-05-2016,May,2016,554
233,Nizamabad,01-06-2016,June,2016,367
234,Nizamabad,01-07-2016,July,2016,644
235,Nizamabad,01-08-2016,August,2016,589
236,Nizamabad,01-09-2016,September,2016,553
237,Nizamabad,01-10-2016,October,2016,434
238,Nizamabad,01-11-2016,November,2016,617
239,Nizamabad,01-12-2016,December,2016,355
240,Peddapalli,01-01-2016,January,2016, 
241,Peddapalli,01-02-2016,February,2016, 
242,Peddapalli,01-03-2016,March,2016, 
243,Peddapalli,01-04-2016,April,2016, 
244,Peddapalli,01-05-2016,May,2016, 
245,Peddapalli,01-06-2016,June,2016, 
246,Peddapalli,01-07-2016,July,2016, 
